"Browser","Users","Org"
"Browser Chrome 29","60","60"
"Browser SeaMonkey 2","7","7"
"Mobile Browser Mobile Safari ","26","26"
"Browser Chrome 28","96","96"
"Browser Firefox 29","88","88"
"Browser Firefox 28","22","23"
"Browser Firefox 27","23","24"
"Browser Firefox 26","15","32"
"Browser Chrome 25","11","11"
"Browser Chrome 24","68","70"
"Browser Firefox 25","51","51"
"Browser Chrome 27","43","44"
"Browser Firefox 24","146","146"
"Mobile Browser Chrome Mobile 57","1","1"
"Browser Chrome 26","15","15"
"Browser Firefox 23","18","19"
"Browser Opera 9","1","1"
" unknown ","12","12"
"Browser Mozilla ","3971","4349"
"Browser Iron 43","1","1"
"Browser Iron 40","1","1"
"Browser Chrome 21","8","185"
"Browser Firefox 33","85","98"
"Browser Chrome 20","10","12"
"Browser Firefox 32","87","87"
"Mobile Browser Chrome Mobile 55","228","228"
"Browser Chrome 23","172","173"
"Browser Firefox 31","309","309"
"Mobile Browser Chrome Mobile 54","11","11"
"Browser Chrome 22","3","3"
"Browser Firefox 30","76","76"
"Mobile Browser Chrome Mobile 53","11","11"
"Mobile Browser Chrome Mobile 52","6","6"
"Mobile Browser Chrome Mobile 51","6","6"
"Mobile Browser Chrome Mobile 50","5","5"
"Other Microsoft Office Existence Discovery ","3","3"
"Browser Chrome 18","4","4"
"Browser Firefox 19","9","10"
"Browser Chrome 17","8","8"
"Browser Firefox 18","3","7"
"Browser Firefox 17","7","7"
"Browser Chrome 19","2","2"
"Browser Firefox 16","6","6"
"Mobile Browser BlackBerry Browser ","1","1"
"Mobile Browser Chrome Mobile 49","1","1"
"Browser Firefox 15","5","5"
"Mobile Browser Chrome Mobile 48","1","1"
"Browser Firefox 14","31","33"
"Browser Chrome 16","1","2"
"Browser Firefox 13","1","11"
"Mobile Browser Chrome Mobile 47","3","3"
"Mobile Browser Chrome Mobile 46","1","1"
"Browser Chrome 15","1","1"
"Browser Firefox 12","4","4"
"Browser Iron 47","1","7"
"Browser Iron 45","2","10"
"Browser CoolNovo 2","1","1"
"Browser Epiphany 3","1","1"
"Browser Safari 2249","1","1"
"Browser Firefox 22","47","164"
"Browser Chrome 10","1","2"
"Mobile Browser Chrome Mobile 45","1","1"
"Mobile Browser Chrome Mobile 44","21","21"
"Browser Firefox 21","7","7"
"Mobile Browser Chrome Mobile 43","2","2"
"Browser Chrome 12","1","1"
"Browser Firefox 20","6","7"
"Browser Chrome 11","1","1"
"Mobile Browser Chrome Mobile 40","1","1"
"Mobile Browser Chrome Mobile 39","1","1"
"Browser Firefox 49","1683","1706"
"Browser Firefox 48","1948","1951"
"Email client Outlook 2013 ","5","6"
"Browser Firefox 47","1358","1367"
"Browser Firefox 46","284","292"
"Browser Firefox 45","16149","16155"
"Browser Safari 5","9","9"
"Browser SiteKiosk 7","1","2"
"Browser Safari 7","7","7"
"Browser Safari 6","7","7"
"Browser Chromium 25","1","3"
"Mobile Browser Mobile Safari 8","8","8"
"Mobile Browser Mobile Safari 9","40","41"
"Browser Opera 20","1","1"
"Mobile Browser Opera Mobile 41","2","2"
"Browser Safari 9","357","360"
"Browser Safari 8","31","32"
"Mobile Browser Chrome Mobile 34","3","3"
"Browser Opera 25","1","1"
"Browser Firefox 53","11","11"
"Browser Opera 28","1","1"
"Browser Firefox 52","22","22"
"Mobile Browser Chrome Mobile 30","1","1"
"Browser Opera 29","1","1"
"Browser Firefox 51","221","253"
"Browser Firefox 50","22425","22469"
"Browser Firefox 39","317","320"
"Browser Chromium 39","1","1"
"Browser Firefox 38","1351","1353"
"Browser Firefox 37","368","372"
"Browser Firefox 36","69","72"
"Browser Firefox 35","763","770"
"Browser Firefox 34","54","54"
"Library Adobe AIR runtime 24","3","4"
"Mobile Browser Mobile Safari 10","224","224"
"Browser Chromium 37","68","68"
"Mobile Browser Mobile Safari 6","3","3"
"Mobile Browser Mobile Safari 7","5","5"
"Browser Maxthon 5","6","6"
"Mobile Browser Mobile Safari 5","4","4"
"Browser Maxthon 4","22","23"
"Mobile Browser Puffin 5","1","1"
"Browser Firefox 44","995","1014"
"Library Apache-HttpClient 4","1","1"
"Browser Firefox 43","449","454"
"Browser Firefox 42","176","176"
"Browser Firefox 41","366","368"
"Browser Firefox 40","296","313"
"Browser IE 10","2976","2979"
"Library Adobe AIR runtime 18","1","1"
"Browser IE 11","116572","116577"
"Browser Chromium 45","1","1"
"Browser Chromium 44","1","1"
"Browser Chromium 49","18","18"
"Library Android HttpURLConnection ","1","1"
"Browser Opera 40","1","1"
"Browser Opera 41","20","20"
"Browser Opera 42","359","359"
"Browser Opera 43","9","9"
"Browser Chrome 57","206","206"
"Email client Outlook 2010 ","2","2"
"Browser Safari 10","1260","1260"
"Browser Chromium 55","23","64"
"Browser Chromium 53","82","87"
"Mobile Browser Mobile Firefox ","7","7"
"Browser Pale Moon 24","1","1"
"Browser Opera 32","1","1"
"Browser Pale Moon 26","2","2"
"Browser Chromium 52","2","7"
"Browser Opera 33","1","1"
"Browser Chromium 51","25","25"
"Browser Chromium 50","42","55"
"Browser Opera 35","1","1"
"Browser Pale Moon 27","7","7"
"Browser Opera 36","4","4"
"Browser Chrome 54","17566","17570"
"Browser Chrome 53","7465","7465"
"Browser Opera 38","5","6"
"Browser Chrome 56","392","392"
"Browser Opera 39","2","2"
"Browser Chrome 55","177397","177397"
"Browser Chrome 50","4239","4247"
"Browser Chrome 52","5409","5475"
"Browser Chrome 51","6331","6332"
"Browser Firefox 5","3","8"
"Browser Firefox 3","12","12"
"Browser Chrome 47","852","852"
"Browser Chrome 46","1485","1485"
"Browser Chrome 49","4904","4904"
"Browser Chrome 48","1771","1771"
"Other PhantomJS 2","6","6"
"Browser Firefox 9","1","1"
"Mobile Browser Android browser 4","32","32"
"Browser Firefox 7","1","2"
"Browser Firefox 8","1","2"
"Browser Firefox 11","3","45"
"Browser Chrome 43","1005","1014"
"Browser Chrome 42","441","442"
"Browser Firefox 10","12","12"
"Browser Chrome 45","1181","1184"
"Browser Chrome 44","1702","1709"
"Browser Chrome 41","2335","2335"
"Browser Chrome 40","605","605"
"Browser Chrome 39","750","750"
"Browser Chrome 36","1088","1088"
"Browser Chrome 35","63","63"
"Browser Chrome 38","362","362"
"Browser Chrome 37","334","337"
"Browser Iron 22","1","2"
"Browser Sogou Explorer 2","107","107"
"Browser Yandex.Browser 16","11","16"
"Browser Chrome 32","168","168"
"Browser Yandex.Browser 17","2","2"
"Browser Chrome 31","115","115"
"Browser IE 8","9442","9442"
"Browser Chrome 34","226","226"
"Browser Chrome 33","590","594"
"Browser Yandex.Browser 15","1","1"
"Browser IE 9","2449","2450"
"Browser IE 6","1","1"
"Browser IE 7","3250","3250"
"Browser Chrome 30","162","165"
